2024-04-22 22:21:54 Размерность обучающей выборки: (8000, 4)
2024-04-22 22:21:54 Размерность тестовой выборки: (2000, 4)
2024-04-22 22:21:55 Количество правил: -  3125
2024-04-22 22:26:56 
2024-04-22 22:26:56 Mean Squared Error (MSE): 0.061530798198548724
2024-04-22 22:26:56 start gradient descent
2024-04-23 00:51:51 Эпоха 59, ошибка: 0.08324461132338368, скорость обучения: 0.043046721000000024
2024-04-23 00:54:15 Эпоха 60, ошибка: 0.08329145698834733, скорость обучения: 0.043046721000000024
2024-04-23 00:56:38 Эпоха 61, ошибка: 0.08330983131598839, скорость обучения: 0.043046721000000024
2024-04-23 00:59:02 Эпоха 62, ошибка: 0.08331705285657, скорость обучения: 0.03874204890000002
2024-04-23 01:01:23 Эпоха 63, ошибка: 0.08151593547937727, скорость обучения: 0.03874204890000002
2024-04-23 01:03:45 Эпоха 64, ошибка: 0.08199251202417693, скорость обучения: 0.03874204890000002
2024-04-23 01:06:10 Эпоха 65, ошибка: 0.08212644759215196, скорость обучения: 0.03874204890000002
2024-04-23 01:08:31 Эпоха 66, ошибка: 0.08216404211762207, скорость обучения: 0.03874204890000002
2024-04-23 01:10:54 Эпоха 67, ошибка: 0.08217459184749341, скорость обучения: 0.03874204890000002
2024-04-23 01:13:17 Эпоха 68, ошибка: 0.08217755206350946, скорость обучения: 0.03486784401000002
2024-04-23 01:15:39 Эпоха 69, ошибка: 0.08059554160512276, скорость обучения: 0.03486784401000002
2024-04-23 01:18:04 Эпоха 70, ошибка: 0.0810345776321179, скорость обучения: 0.03486784401000002
2024-04-23 01:20:26 Эпоха 71, ошибка: 0.08120367315494424, скорость обучения: 0.03486784401000002
2024-04-23 01:22:49 Эпоха 72, ошибка: 0.08125823320480714, скорость обучения: 0.03486784401000002
2024-04-23 01:25:14 Эпоха 73, ошибка: 0.0812758280031649, скорость обучения: 0.03486784401000002
2024-04-23 01:27:36 Эпоха 74, ошибка: 0.08128150116322322, скорость обучения: 0.03138105960900001
2024-04-23 01:29:56 Эпоха 75, ошибка: 0.08004304597083023, скорость обучения: 0.03138105960900001
2024-04-23 01:32:22 Эпоха 76, ошибка: 0.08033699210310223, скорость обучения: 0.03138105960900001
2024-04-23 01:34:45 Эпоха 77, ошибка: 0.08046407664181315, скорость обучения: 0.03138105960900001
2024-04-23 01:37:09 Эпоха 78, ошибка: 0.08051919748561354, скорость обучения: 0.03138105960900001
2024-04-23 01:39:33 Эпоха 79, ошибка: 0.08054313952150809, скорость обучения: 0.03138105960900001
2024-04-23 01:41:57 Эпоха 80, ошибка: 0.08055354541294683, скорость обучения: 0.028242953648100012
2024-04-23 01:44:21 Эпоха 81, ошибка: 0.07957424683062325, скорость обучения: 0.028242953648100012
2024-04-23 01:46:45 Эпоха 82, ошибка: 0.07979349321284215, скорость обучения: 0.028242953648100012
2024-04-23 01:49:07 Эпоха 83, ошибка: 0.07989074956441868, скорость обучения: 0.028242953648100012
2024-04-23 01:51:31 Эпоха 84, ошибка: 0.0799351088200933, скорость обучения: 0.028242953648100012
2024-04-23 01:53:53 Эпоха 85, ошибка: 0.07995535941660256, скорость обучения: 0.028242953648100012
2024-04-23 01:56:15 Эпоха 86, ошибка: 0.07996460789393398, скорость обучения: 0.025418658283290013
2024-04-23 01:58:40 Эпоха 87, ошибка: 0.07910506415428613, скорость обучения: 0.025418658283290013
2024-04-23 02:01:02 Эпоха 88, ошибка: 0.07928604473920652, скорость обучения: 0.025418658283290013
2024-04-23 02:03:24 Эпоха 89, ошибка: 0.07937530788358393, скорость обучения: 0.025418658283290013
2024-04-23 02:05:49 Эпоха 90, ошибка: 0.07941940475750585, скорость обучения: 0.025418658283290013
2024-04-23 02:08:11 Эпоха 91, ошибка: 0.07944120665451518, скорость обучения: 0.025418658283290013
2024-04-23 02:10:32 Эпоха 92, ошибка: 0.07945199006047339, скорость обучения: 0.022876792454961013
2024-04-23 02:12:57 Эпоха 93, ошибка: 0.0786966317010499, скорость обучения: 0.022876792454961013
2024-04-23 02:15:19 Эпоха 94, ошибка: 0.0788520534743688, скорость обучения: 0.022876792454961013
2024-04-23 02:17:44 Эпоха 95, ошибка: 0.07893442422550216, скорость обучения: 0.022876792454961013
2024-04-23 02:20:06 Эпоха 96, ошибка: 0.07897813870241481, скорость обучения: 0.022876792454961013
2024-04-23 02:22:28 Эпоха 97, ошибка: 0.07900135518681063, скорость обучения: 0.022876792454961013
2024-04-23 02:24:51 Эпоха 98, ошибка: 0.07901369016603486, скорость обучения: 0.020589113209464913
2024-04-23 02:27:12 Эпоха 99, ошибка: 0.07834823282962136, скорость обучения: 0.020589113209464913
2024-04-23 02:29:34 Эпоха 100, ошибка: 0.07848126763824469, скорость обучения: 0.020589113209464913
2024-04-23 02:31:59 Эпоха 101, ошибка: 0.07855647457731502, скорость обучения: 0.020589113209464913
2024-04-23 02:34:21 Эпоха 102, ошибка: 0.07859903927411978, скорость обучения: 0.020589113209464913
2024-04-23 02:36:44 Эпоха 103, ошибка: 0.0786231453864368, скорость обучения: 0.020589113209464913
2024-04-23 02:39:09 Эпоха 104, ошибка: 0.0786368027822432, скорость обучения: 0.01853020188851842
2024-04-23 02:41:32 Эпоха 105, ошибка: 0.07804928487127398, скорость обучения: 0.01853020188851842
2024-04-23 02:43:59 Эпоха 106, ошибка: 0.07816291971599278, скорость обучения: 0.01853020188851842
2024-04-23 02:46:24 Эпоха 107, ошибка: 0.07823234334645535, скорость обучения: 0.01853020188851842
2024-04-23 02:48:51 Эпоха 108, ошибка: 0.07827521663006666, скорость обучения: 0.01853020188851842
2024-04-23 02:51:22 Эпоха 109, ошибка: 0.07830114171118924, скорость обучения: 0.01853020188851842
2024-04-23 02:53:49 Эпоха 110, ошибка: 0.07831682496446174, скорость обучения: 0.01667718169966658
2024-04-23 02:56:16 Эпоха 111, ошибка: 0.07779772870032715, скорость обучения: 0.01667718169966658
2024-04-23 02:58:43 Эпоха 112, ошибка: 0.07790541405170696, скорость обучения: 0.01667718169966658
2024-04-23 03:01:06 Эпоха 113, ошибка: 0.07797616485140332, скорость обучения: 0.01667718169966658
2024-04-23 03:03:29 Эпоха 114, ошибка: 0.07802180227183729, скорость обучения: 0.01667718169966658
2024-04-23 03:05:55 Эпоха 115, ошибка: 0.07805126281407669, скорость обучения: 0.01667718169966658
2024-04-23 03:08:19 Эпоха 116, ошибка: 0.07807028996865917, скорость обучения: 0.015009463529699923
2024-04-23 03:10:42 Эпоха 117, ошибка: 0.07761180904864101, скорость обучения: 0.015009463529699923
2024-04-23 03:13:13 Эпоха 118, ошибка: 0.07770617825505298, скорость обучения: 0.015009463529699923
2024-04-23 03:15:37 Эпоха 119, ошибка: 0.07776979246851401, скорость обучения: 0.015009463529699923
