2024-04-22 22:21:54 Размерность обучающей выборки: (8000, 4)
2024-04-22 22:21:54 Размерность тестовой выборки: (2000, 4)
2024-04-22 22:21:55 Количество правил: -  3125
2024-04-22 22:24:23 
2024-04-22 22:24:23 Mean Squared Error (MSE): 0.12617507490454347
2024-04-22 22:24:23 start gradient descent
2024-04-22 22:25:18 Эпоха 1, ошибка: 0.04218972627992472, скорость обучения: 0.1
2024-04-22 22:26:18 Эпоха 2, ошибка: 0.017424721315084622, скорость обучения: 0.1
2024-04-22 22:27:16 Эпоха 3, ошибка: 0.01659856132750894, скорость обучения: 0.1
2024-04-22 22:28:15 Эпоха 4, ошибка: 0.01583176629026728, скорость обучения: 0.1
2024-04-22 22:29:13 Эпоха 5, ошибка: 0.01520513312623308, скорость обучения: 0.1
2024-04-22 22:30:11 Эпоха 6, ошибка: 0.014725666877972467, скорость обучения: 0.1
2024-04-22 22:31:11 Эпоха 7, ошибка: 0.014434688723194773, скорость обучения: 0.1
2024-04-22 22:32:08 Эпоха 8, ошибка: 0.014224630327832614, скорость обучения: 0.1
2024-04-22 22:33:08 Эпоха 9, ошибка: 0.014073390161979078, скорость обучения: 0.1
2024-04-22 22:34:06 Эпоха 10, ошибка: 0.01399634640208846, скорость обучения: 0.1
2024-04-22 22:35:03 Эпоха 11, ошибка: 0.013859468914510613, скорость обучения: 0.1
2024-04-22 22:36:02 Эпоха 12, ошибка: 0.013773685999180656, скорость обучения: 0.1
2024-04-22 22:37:00 Эпоха 13, ошибка: 0.013726028593642872, скорость обучения: 0.1
2024-04-22 22:37:58 Эпоха 14, ошибка: 0.013700137937619046, скорость обучения: 0.1
2024-04-22 22:39:00 Эпоха 15, ошибка: 0.013674421616828625, скорость обучения: 0.1
2024-04-22 22:39:59 Эпоха 16, ошибка: 0.013653349678015205, скорость обучения: 0.1
2024-04-22 22:40:57 Эпоха 17, ошибка: 0.013637615150544234, скорость обучения: 0.1
2024-04-22 22:41:57 Эпоха 18, ошибка: 0.013620130453231743, скорость обучения: 0.1
2024-04-22 22:42:55 Эпоха 19, ошибка: 0.013608335128941197, скорость обучения: 0.1
2024-04-22 22:43:53 Эпоха 20, ошибка: 0.013598673046207113, скорость обучения: 0.1
2024-04-22 22:44:53 Эпоха 21, ошибка: 0.013588600754305792, скорость обучения: 0.1
2024-04-22 22:45:51 Эпоха 22, ошибка: 0.013581118830603336, скорость обучения: 0.1
2024-04-22 22:46:52 Эпоха 23, ошибка: 0.013575324699131005, скорость обучения: 0.1
2024-04-22 22:47:49 Эпоха 24, ошибка: 0.013570864178645586, скорость обучения: 0.1
2024-04-22 22:48:47 Эпоха 25, ошибка: 0.013567642061657632, скорость обучения: 0.1
