Эпоха 81, ошибка: 0.006299854051091963, скорость обучения: 0.09000000000000001
Эпоха 82, ошибка: 0.006257921710114261, скорость обучения: 0.09000000000000001
Эпоха 83, ошибка: 0.006217461176015237, скорость обучения: 0.09000000000000001
Эпоха 84, ошибка: 0.006178418604400226, скорость обучения: 0.09000000000000001
Эпоха 85, ошибка: 0.006138008055103145, скорость обучения: 0.09000000000000001
Эпоха 86, ошибка: 0.006099526596840949, скорость обучения: 0.09000000000000001
Эпоха 87, ошибка: 0.006070070540491896, скорость обучения: 0.09000000000000001
Эпоха 88, ошибка: 0.0060483722048660146, скорость обучения: 0.09000000000000001
Эпоха 89, ошибка: 0.006033391955821443, скорость обучения: 0.09000000000000001
Эпоха 90, ошибка: 0.006024274745863671, скорость обучения: 0.09000000000000001
Эпоха 91, ошибка: 0.006020315505167535, скорость обучения: 0.09000000000000001
Эпоха 92, ошибка: 0.006020931435630465, скорость обучения: 0.09000000000000001
Эпоха 93, ошибка: 0.006025639727099999, скорость обучения: 0.09000000000000001
Эпоха 94, ошибка: 0.0060340395606473165, скорость обучения: 0.09000000000000001
Эпоха 95, ошибка: 0.006045797521659745, скорость обучения: 0.09000000000000001
Эпоха 96, ошибка: 0.006060635739611785, скорость обучения: 0.08100000000000002
Эпоха 97, ошибка: 0.006050699976175005, скорость обучения: 0.07290000000000002
Эпоха 98, ошибка: 0.006045011006780572, скорость обучения: 0.06561000000000002
Эпоха 99, ошибка: 0.006042313039855061, скорость обучения: 0.05904900000000002
Эпоха 100, ошибка: 0.006041711550799826, скорость обучения: 0.05314410000000002
Эпоха 101, ошибка: 0.00604256260706189, скорость обучения: 0.04782969000000002
Эпоха 102, ошибка: 0.006044399371694861, скорость обучения: 0.043046721000000024
Эпоха 103, ошибка: 0.00604688208386954, скорость обучения: 0.03874204890000002
Эпоха 104, ошибка: 0.006049763288922596, скорость обучения: 0.03486784401000002
Эпоха 105, ошибка: 0.006052863226754735, скорость обучения: 0.03138105960900001
Эпоха 106, ошибка: 0.006056052140499476, скорость обучения: 0.028242953648100012
Эпоха 107, ошибка: 0.006059237393892599, скорость обучения: 0.025418658283290013
Эпоха 108, ошибка: 0.006062353988774515, скорость обучения: 0.022876792454961013
Эпоха 109, ошибка: 0.006065357523605511, скорость обучения: 0.020589113209464913
Эпоха 110, ошибка: 0.00606821892770734, скорость обучения: 0.01853020188851842
Эпоха 111, ошибка: 0.006070920502023268, скорость обучения: 0.01667718169966658
Эпоха 112, ошибка: 0.006073452930533707, скорость обучения: 0.015009463529699923
