Эпоха 1, ошибка: 0.045681869943503865, скорость обучения: 0.1
Эпоха 2, ошибка: 0.009118979424120995, скорость обучения: 0.1
Эпоха 3, ошибка: 0.00697779866484569, скорость обучения: 0.1
Эпоха 4, ошибка: 0.008235045542995846, скорость обучения: 0.1
Эпоха 5, ошибка: 0.00865734576645587, скорость обучения: 0.1
Эпоха 6, ошибка: 0.008669090997671287, скорость обучения: 0.1
Эпоха 7, ошибка: 0.008560011602519905, скорость обучения: 0.1
Эпоха 8, ошибка: 0.008458489293226908, скорость обучения: 0.09000000000000001
Эпоха 9, ошибка: 0.00822035200440261, скорость обучения: 0.08100000000000002
Эпоха 10, ошибка: 0.00801816080161929, скорость обучения: 0.07290000000000002
Эпоха 11, ошибка: 0.007804656027362485, скорость обучения: 0.06561000000000002
Эпоха 12, ошибка: 0.0075909805440630505, скорость обучения: 0.05904900000000002
Эпоха 13, ошибка: 0.007414253501578011, скорость обучения: 0.05314410000000002
Эпоха 14, ошибка: 0.007201045781261149, скорость обучения: 0.04782969000000002
Эпоха 15, ошибка: 0.007013599554083087, скорость обучения: 0.043046721000000024
Эпоха 16, ошибка: 0.006863373387989478, скорость обучения: 0.043046721000000024
Эпоха 17, ошибка: 0.006789247568359766, скорость обучения: 0.043046721000000024
Эпоха 18, ошибка: 0.006725017622483865, скорость обучения: 0.043046721000000024
Эпоха 19, ошибка: 0.006668255078106663, скорость обучения: 0.043046721000000024
Эпоха 20, ошибка: 0.0066063231457083975, скорость обучения: 0.043046721000000024
Эпоха 21, ошибка: 0.006546130732545738, скорость обучения: 0.043046721000000024
Эпоха 22, ошибка: 0.006485629602990053, скорость обучения: 0.043046721000000024
Эпоха 23, ошибка: 0.0064285402253173455, скорость обучения: 0.043046721000000024
Эпоха 24, ошибка: 0.006382260521502932, скорость обучения: 0.043046721000000024
Эпоха 25, ошибка: 0.006339839136547978, скорость обучения: 0.043046721000000024
Эпоха 26, ошибка: 0.006300590710099689, скорость обучения: 0.043046721000000024
Эпоха 27, ошибка: 0.0062640310141654654, скорость обучения: 0.043046721000000024
Эпоха 28, ошибка: 0.006229807474048605, скорость обучения: 0.043046721000000024
Эпоха 29, ошибка: 0.006197654881160351, скорость обучения: 0.043046721000000024
Эпоха 30, ошибка: 0.006167366968686617, скорость обучения: 0.043046721000000024
