–азмерность обучающей выборки: (8000, 4)
–азмерность тестовой выборки: (2000, 4)
 оличество правил: -  243
Mean Squared Error (MSE): 0.12560472168116257
start gradient descent
Ёпоха 75, ошибка: 0.005563148337690411, скорость обучени€: 0.043046721000000024
Ёпоха 76, ошибка: 0.0055557223970670285, скорость обучени€: 0.043046721000000024
Ёпоха 77, ошибка: 0.005548741495214542, скорость обучени€: 0.043046721000000024
Ёпоха 78, ошибка: 0.005543379378216963, скорость обучени€: 0.043046721000000024
Ёпоха 79, ошибка: 0.0055375874515617395, скорость обучени€: 0.043046721000000024
Ёпоха 80, ошибка: 0.0055314778982341935, скорость обучени€: 0.043046721000000024
Ёпоха 81, ошибка: 0.005525212471716093, скорость обучени€: 0.043046721000000024
Ёпоха 82, ошибка: 0.005518896939435927, скорость обучени€: 0.043046721000000024
Ёпоха 83, ошибка: 0.005512599995356459, скорость обучени€: 0.043046721000000024
Ёпоха 84, ошибка: 0.005506365804555075, скорость обучени€: 0.043046721000000024
Ёпоха 85, ошибка: 0.005500222319893379, скорость обучени€: 0.043046721000000024
Ёпоха 86, ошибка: 0.005494613938997664, скорость обучени€: 0.043046721000000024
Ёпоха 87, ошибка: 0.005489520486817808, скорость обучени€: 0.043046721000000024
Ёпоха 88, ошибка: 0.005484371682166645, скорость обучени€: 0.043046721000000024
Ёпоха 89, ошибка: 0.005478385161551228, скорость обучени€: 0.043046721000000024
Ёпоха 90, ошибка: 0.005468700364091995, скорость обучени€: 0.043046721000000024
Ёпоха 91, ошибка: 0.005460438327136682, скорость обучени€: 0.043046721000000024
Ёпоха 92, ошибка: 0.005453193181576069, скорость обучени€: 0.043046721000000024
Ёпоха 93, ошибка: 0.005446647922459603, скорость обучени€: 0.043046721000000024
Ёпоха 94, ошибка: 0.005440594994493018, скорость обучени€: 0.043046721000000024
Ёпоха 95, ошибка: 0.005435846767414045, скорость обучени€: 0.043046721000000024
Ёпоха 96, ошибка: 0.005433848113110024, скорость обучени€: 0.043046721000000024
Ёпоха 97, ошибка: 0.005431146498970935, скорость обучени€: 0.043046721000000024
Ёпоха 98, ошибка: 0.005428664939915196, скорость обучени€: 0.043046721000000024
Ёпоха 99, ошибка: 0.005426342554638752, скорость обучени€: 0.043046721000000024
Ёпоха 100, ошибка: 0.005424140048372609, скорость обучени€: 0.043046721000000024
Ёпоха 101, ошибка: 0.0054220318957162485, скорость обучени€: 0.043046721000000024
Ёпоха 102, ошибка: 0.005420001361750579, скорость обучени€: 0.043046721000000024
Ёпоха 103, ошибка: 0.005418037329496626, скорость обучени€: 0.043046721000000024
Ёпоха 104, ошибка: 0.005416132277554937, скорость обучени€: 0.043046721000000024
Ёпоха 105, ошибка: 0.005414280990413075, скорость обучени€: 0.043046721000000024
Ёпоха 106, ошибка: 0.005412479735617648, скорость обучени€: 0.043046721000000024
Ёпоха 107, ошибка: 0.005410725738539918, скорость обучени€: 0.043046721000000024
Ёпоха 108, ошибка: 0.00540901684687898, скорость обучени€: 0.043046721000000024
Ёпоха 109, ошибка: 0.0054073513161841434, скорость обучени€: 0.043046721000000024
Ёпоха 110, ошибка: 0.005405727672583693, скорость обучени€: 0.043046721000000024
Ёпоха 111, ошибка: 0.005404144624786047, скорость обучени€: 0.043046721000000024
Ёпоха 112, ошибка: 0.005401894848655939, скорость обучени€: 0.043046721000000024
Ёпоха 113, ошибка: 0.005399982173773124, скорость обучени€: 0.043046721000000024
Ёпоха 114, ошибка: 0.0053987225988161355, скорость обучени€: 0.043046721000000024
Ёпоха 115, ошибка: 0.005397880575928856, скорость обучени€: 0.043046721000000024
Ёпоха 116, ошибка: 0.005397307628117378, скорость обучени€: 0.043046721000000024
Ёпоха 117, ошибка: 0.005396910028465625, скорость обучени€: 0.043046721000000024
Ёпоха 118, ошибка: 0.005396628497961255, скорость обучени€: 0.043046721000000024
Ёпоха 119, ошибка: 0.005396425443118748, скорость обучени€: 0.043046721000000024
Ёпоха 120, ошибка: 0.0053962769290627766, скорость обучени€: 0.043046721000000024
Ёпоха 121, ошибка: 0.005396299173303198, скорость обучени€: 0.043046721000000024
Ёпоха 122, ошибка: 0.005396085830889238, скорость обучени€: 0.043046721000000024
Ёпоха 123, ошибка: 0.005395900015132118, скорость обучени€: 0.043046721000000024
Ёпоха 124, ошибка: 0.005395903362674634, скорость обучени€: 0.043046721000000024
Ёпоха 125, ошибка: 0.005396026683334727, скорость обучени€: 0.043046721000000024
Ёпоха 126, ошибка: 0.005396226409138893, скорость обучени€: 0.043046721000000024
Ёпоха 127, ошибка: 0.005396475044032505, скорость обучени€: 0.043046721000000024
Ёпоха 128, ошибка: 0.005396755178435373, скорость обучени€: 0.03874204890000002
