Эпоха 1, ошибка: 0.21139111351438888, скорость обучения: 0.1
Эпоха 2, ошибка: 0.20282815759236653, скорость обучения: 0.1
Эпоха 3, ошибка: 0.1888755104326092, скорость обучения: 0.1
Эпоха 4, ошибка: 0.17494265387504315, скорость обучения: 0.1
Эпоха 5, ошибка: 0.1525912080120771, скорость обучения: 0.1
Эпоха 6, ошибка: 0.13227040115129363, скорость обучения: 0.1
Эпоха 7, ошибка: 0.11446133962270064, скорость обучения: 0.1
Эпоха 8, ошибка: 0.10027491041096816, скорость обучения: 0.1
Эпоха 9, ошибка: 0.0891710659141885, скорость обучения: 0.1
Эпоха 10, ошибка: 0.08038095190006356, скорость обучения: 0.1
Эпоха 11, ошибка: 0.07341637449790206, скорость обучения: 0.1
Эпоха 12, ошибка: 0.06771781617255508, скорость обучения: 0.1
Эпоха 13, ошибка: 0.06296626340721193, скорость обучения: 0.1
Эпоха 14, ошибка: 0.05892934523239628, скорость обучения: 0.1
Эпоха 15, ошибка: 0.055414099149575916, скорость обучения: 0.1
Эпоха 16, ошибка: 0.05236308188556245, скорость обучения: 0.1
Эпоха 17, ошибка: 0.049538850905792145, скорость обучения: 0.1
Эпоха 18, ошибка: 0.04678641751275793, скорость обучения: 0.1
Эпоха 19, ошибка: 0.04426931004466408, скорость обучения: 0.1
Эпоха 20, ошибка: 0.04235647038354582, скорость обучения: 0.1
Эпоха 21, ошибка: 0.03611245813038426, скорость обучения: 0.1
Эпоха 22, ошибка: 0.044012876778771456, скорость обучения: 0.1
Эпоха 23, ошибка: 0.03830956830449669, скорость обучения: 0.1
Эпоха 24, ошибка: 0.03408316819311799, скорость обучения: 0.1
Эпоха 25, ошибка: 0.030927221194072978, скорость обучения: 0.1
Эпоха 26, ошибка: 0.02869884606814331, скорость обучения: 0.1
Эпоха 27, ошибка: 0.02739971419143452, скорость обучения: 0.1
Эпоха 28, ошибка: 0.0264822591854355, скорость обучения: 0.1
Эпоха 29, ошибка: 0.025733217055397186, скорость обучения: 0.1
Эпоха 30, ошибка: 0.02511201960399117, скорость обучения: 0.1
Эпоха 31, ошибка: 0.02460301502113112, скорость обучения: 0.1
Эпоха 32, ошибка: 0.024066434649655168, скорость обучения: 0.1
Эпоха 33, ошибка: 0.02352239175176262, скорость обучения: 0.1
Эпоха 34, ошибка: 0.023133877390859266, скорость обучения: 0.1
Эпоха 35, ошибка: 0.022928384034214325, скорость обучения: 0.1
Эпоха 36, ошибка: 0.022811706490603004, скорость обучения: 0.1
Эпоха 37, ошибка: 0.022615294189398755, скорость обучения: 0.1
Эпоха 38, ошибка: 0.02234455955342329, скорость обучения: 0.1
Эпоха 39, ошибка: 0.022037178943678345, скорость обучения: 0.1
Эпоха 40, ошибка: 0.021710193684233745, скорость обучения: 0.1
Эпоха 41, ошибка: 0.02138166834128112, скорость обучения: 0.1
Эпоха 42, ошибка: 0.02106181159760303, скорость обучения: 0.1
Эпоха 43, ошибка: 0.020754299368823476, скорость обучения: 0.1
Эпоха 44, ошибка: 0.020461516443336325, скорость обучения: 0.1
Эпоха 45, ошибка: 0.020184892051278686, скорость обучения: 0.1
Эпоха 46, ошибка: 0.019925158950740568, скорость обучения: 0.1
Эпоха 47, ошибка: 0.019682550370447124, скорость обучения: 0.1
Эпоха 48, ошибка: 0.0194569479051993, скорость обучения: 0.1
Эпоха 49, ошибка: 0.01924799144527707, скорость обучения: 0.1
Эпоха 50, ошибка: 0.01905516011973804, скорость обучения: 0.1
Эпоха 51, ошибка: 0.01887783133715432, скорость обучения: 0.1
Эпоха 52, ошибка: 0.01871532341188178, скорость обучения: 0.1
Эпоха 53, ошибка: 0.018566925974585025, скорость обучения: 0.1
Эпоха 54, ошибка: 0.018431921349693958, скорость обучения: 0.1
Эпоха 55, ошибка: 0.018309599295155, скорость обучения: 0.1
Эпоха 56, ошибка: 0.018199266896881564, скорость обучения: 0.1
Эпоха 57, ошибка: 0.01810025495244617, скорость обучения: 0.1
Эпоха 58, ошибка: 0.0180119218330995, скорость обучения: 0.1
Эпоха 59, ошибка: 0.017933655553871004, скорость обучения: 0.1
Эпоха 60, ошибка: 0.017864874587644852, скорость обучения: 0.1
Эпоха 61, ошибка: 0.01780502781471429, скорость обучения: 0.1
Эпоха 62, ошибка: 0.017753593892144533, скорость обучения: 0.1
Эпоха 63, ошибка: 0.017710080247992803, скорость обучения: 0.1
Эпоха 64, ошибка: 0.017674021846988974, скорость обучения: 0.1
Эпоха 65, ошибка: 0.017644979831363296, скорость обучения: 0.1
Эпоха 66, ошибка: 0.01762254010912869, скорость обучения: 0.1
Эпоха 67, ошибка: 0.01760631193929568, скорость обучения: 0.1
Эпоха 68, ошибка: 0.017595926546990822, скорость обучения: 0.1
Эпоха 69, ошибка: 0.017591035789602312, скорость обучения: 0.1
Эпоха 70, ошибка: 0.017591310886647026, скорость обучения: 0.1
Эпоха 71, ошибка: 0.017596441220132663, скорость обучения: 0.1
Эпоха 72, ошибка: 0.017606133208088036, скорость обучения: 0.1
Эпоха 73, ошибка: 0.01762010925115835, скорость обучения: 0.1
Эпоха 74, ошибка: 0.01763810675033498, скорость обучения: 0.09000000000000001
Эпоха 75, ошибка: 0.017614007997723863, скорость обучения: 0.08100000000000002
Эпоха 76, ошибка: 0.017596292767189915, скорость обучения: 0.07290000000000002
Эпоха 77, ошибка: 0.017583652501897678, скорость обучения: 0.07290000000000002
Эпоха 78, ошибка: 0.017604618776736795, скорость обучения: 0.07290000000000002
Эпоха 79, ошибка: 0.017628008210161597, скорость обучения: 0.07290000000000002
Эпоха 80, ошибка: 0.017653563995712395, скорость обучения: 0.07290000000000002
Эпоха 81, ошибка: 0.017681066997296747, скорость обучения: 0.07290000000000002
Эпоха 82, ошибка: 0.017710329125511536, скорость обучения: 0.06561000000000002
Эпоха 83, ошибка: 0.01771329845847961, скорость обучения: 0.05904900000000002
Эпоха 84, ошибка: 0.01771715053221195, скорость обучения: 0.05314410000000002
Эпоха 85, ошибка: 0.017721643577375577, скорость обучения: 0.04782969000000002
Эпоха 86, ошибка: 0.017726553825564085, скорость обучения: 0.043046721000000024
Эпоха 87, ошибка: 0.017731691871270692, скорость обучения: 0.03874204890000002
Эпоха 88, ошибка: 0.017736905874479035, скорость обучения: 0.03486784401000002
Эпоха 89, ошибка: 0.017742078956246535, скорость обучения: 0.03138105960900001
Эпоха 90, ошибка: 0.017747124403762443, скорость обучения: 0.028242953648100012
Эпоха 91, ошибка: 0.01775198041644221, скорость обучения: 0.025418658283290013
Эпоха 92, ошибка: 0.017756605172807746, скорость обучения: 0.022876792454961013
Эпоха 93, ошибка: 0.01776097252189807, скорость обучения: 0.020589113209464913
Эпоха 94, ошибка: 0.017765068371095004, скорость обучения: 0.01853020188851842
Эпоха 95, ошибка: 0.017768887735603697, скорость обучения: 0.01667718169966658
Эпоха 96, ошибка: 0.017772432371754215, скорость обучения: 0.015009463529699923
Эпоха 97, ошибка: 0.01777570890469154, скорость обучения: 0.013508517176729932
Эпоха 98, ошибка: 0.01777872736420446, скорость обучения: 0.01215766545905694
Эпоха 99, ошибка: 0.017781500051818163, скорость обучения: 0.010941898913151246
Эпоха 100, ошибка: 0.01778404067352196, скорость обучения: 0.009847709021836121
Эпоха 101, ошибка: 0.017786363683555267, скорость обучения: 0.00886293811965251
Эпоха 102, ошибка: 0.017788483794629443, скорость обучения: 0.007976644307687259
Эпоха 103, ошибка: 0.017790415618529693, скорость обучения: 0.007178979876918534
Эпоха 104, ошибка: 0.01779217340820373, скорость обучения: 0.006461081889226681
Эпоха 105, ошибка: 0.01779377087833245, скорость обучения: 0.005814973700304013
Эпоха 106, ошибка: 0.017795221086157047, скорость обучения: 0.005233476330273611
Эпоха 107, ошибка: 0.017796536358186833, скорость обучения: 0.00471012869724625
Эпоха 108, ошибка: 0.017797728251494043, скорость обучения: 0.004239115827521626
Эпоха 109, ошибка: 0.01779880754075704, скорость обучения: 0.0038152042447694634
Эпоха 110, ошибка: 0.0177997842241634, скорость обучения: 0.003433683820292517
Эпоха 111, ошибка: 0.01780066754282984, скорость обучения: 0.0030903154382632653
Эпоха 112, ошибка: 0.01780146600961429, скорость обучения: 0.002781283894436939
Эпоха 113, ошибка: 0.017802187444159793, скорость обучения: 0.002503155504993245
Эпоха 114, ошибка: 0.01780283901176129, скорость обучения: 0.0022528399544939205
Эпоха 115, ошибка: 0.017803427264244102, скорость обучения: 0.0020275559590445286
Эпоха 116, ошибка: 0.017803958181501617, скорость обучения: 0.0018248003631400759
Эпоха 117, ошибка: 0.017804437212703646, скорость обучения: 0.0016423203268260682
Эпоха 118, ошибка: 0.017804869316465702, скорость обучения: 0.0014780882941434613
Эпоха 119, ошибка: 0.01780525899948534, скорость обучения: 0.0013302794647291152
Эпоха 120, ошибка: 0.017805610353318808, скорость обучения: 0.0011972515182562037
Эпоха 121, ошибка: 0.01780592708909664, скорость обучения: 0.0010775263664305832
Эпоха 122, ошибка: 0.017806212570071922, скорость обучения: 0.000969773729787525
Эпоха 123, ошибка: 0.017806469841967716, скорость обучения: 0.0008727963568087724
Эпоха 124, ошибка: 0.017806701661139967, скорость обучения: 0.0007855167211278952
Эпоха 125, ошибка: 0.017806910520611098, скорость обучения: 0.0007069650490151057
Эпоха 126, ошибка: 0.017807098674056308, скорость обучения: 0.0006362685441135952
Эпоха 127, ошибка: 0.01780726815783929, скорость обучения: 0.0005726416897022357
Эпоха 128, ошибка: 0.017807420811207217, скорость обучения: 0.0005153775207320121
Эпоха 129, ошибка: 0.01780755829475991, скорость обучения: 0.00046383976865881093
Эпоха 130, ошибка: 0.017807682107308907, скорость обучения: 0.00041745579179292984
Эпоха 131, ошибка: 0.017807793601242364, скорость обучения: 0.00037571021261363684
Эпоха 132, ошибка: 0.01780789399650936, скорость обучения: 0.00033813919135227316
Эпоха 133, ошибка: 0.017807984393330156, скорость обучения: 0.00030432527221704587
Эпоха 134, ошибка: 0.01780806578373826, скорость обучения: 0.00027389274499534127
Эпоха 135, ошибка: 0.017808139062049425, скорость обучения: 0.00024650347049580716
Эпоха 136, ошибка: 0.017808205034350797, скорость обучения: 0.00022185312344622646
Эпоха 137, ошибка: 0.017808264427095075, скорость обучения: 0.00019966781110160382
Эпоха 138, ошибка: 0.017808317894878307, скорость обучения: 0.00017970102999144343
Эпоха 139, ошибка: 0.017808366027475916, скорость обучения: 0.0001617309269922991
Эпоха 140, ошибка: 0.017808409356202905, скорость обучения: 0.0001455578342930692
Эпоха 141, ошибка: 0.017808448359661746, скорость обучения: 0.00013100205086376228
Эпоха 142, ошибка: 0.017808483468934055, скорость обучения: 0.00011790184577738606
Эпоха 143, ошибка: 0.017808515072267734, скорость обучения: 0.00010611166119964746
Скорость обучения слишком мала. Прекращение обучения.
