Размерность обучающей выборки: (8000, 4)
Размерность тестовой выборки: (2000, 4)
Количество правил: -  243
Mean Squared Error (MSE): 0.052125061630963726
start gradient descent
Эпоха 79, ошибка: 0.004807872921502733, скорость обучения: 0.05904900000000002
Эпоха 80, ошибка: 0.0048078638184116795, скорость обучения: 0.05904900000000002
Эпоха 81, ошибка: 0.004807863364102255, скорость обучения: 0.05904900000000002
Эпоха 82, ошибка: 0.004807863341429053, скорость обучения: 0.05904900000000002
Эпоха 83, ошибка: 0.0048078633402975565, скорость обучения: 0.05904900000000002
Эпоха 84, ошибка: 0.0048078633402410895, скорость обучения: 0.05904900000000002
Эпоха 85, ошибка: 0.0048078633402383435, скорость обучения: 0.05904900000000002
Эпоха 86, ошибка: 0.004807863340238248, скорость обучения: 0.05904900000000002
Эпоха 87, ошибка: 0.004807863340238291, скорость обучения: 0.05904900000000002
Эпоха 88, ошибка: 0.004807863340238257, скорость обучения: 0.05904900000000002
Эпоха 89, ошибка: 0.004807863340238279, скорость обучения: 0.05904900000000002
Эпоха 90, ошибка: 0.004807863340238257, скорость обучения: 0.05904900000000002
Эпоха 91, ошибка: 0.004807863340238279, скорость обучения: 0.05314410000000002
Эпоха 92, ошибка: 0.004652178651039688, скорость обучения: 0.05314410000000002
Эпоха 93, ошибка: 0.004595458944230839, скорость обучения: 0.05314410000000002
Эпоха 94, ошибка: 0.004589729800204596, скорость обучения: 0.05314410000000002
Эпоха 95, ошибка: 0.004589147717453533, скорость обучения: 0.05314410000000002
Эпоха 96, ошибка: 0.004589088542365375, скорость обучения: 0.05314410000000002
Эпоха 97, ошибка: 0.004589082526203912, скорость обучения: 0.05314410000000002
Эпоха 98, ошибка: 0.004589081914554587, скорость обучения: 0.05314410000000002
Эпоха 99, ошибка: 0.00458908185236922, скорость обучения: 0.05314410000000002
Эпоха 100, ошибка: 0.004589081846046849, скорость обучения: 0.05314410000000002
Эпоха 101, ошибка: 0.004589081845403936, скорость обучения: 0.05314410000000002
Эпоха 102, ошибка: 0.004589081845338752, скорость обучения: 0.05314410000000002
Эпоха 103, ошибка: 0.00458908184533207, скорость обучения: 0.05314410000000002
Эпоха 104, ошибка: 0.004589081845331437, скорость обучения: 0.05314410000000002
Эпоха 105, ошибка: 0.004589081845331222, скорость обучения: 0.05314410000000002
Эпоха 106, ошибка: 0.00458908184533125, скорость обучения: 0.05314410000000002
Эпоха 107, ошибка: 0.004589081845331195, скорость обучения: 0.05314410000000002
Эпоха 108, ошибка: 0.004589081845331258, скорость обучения: 0.05314410000000002
Эпоха 109, ошибка: 0.004589081845331229, скорость обучения: 0.05314410000000002
Эпоха 110, ошибка: 0.004589081845331184, скорость обучения: 0.05314410000000002
Эпоха 111, ошибка: 0.004589081845331196, скорость обучения: 0.05314410000000002
Эпоха 112, ошибка: 0.0045890818453311975, скорость обучения: 0.05314410000000002
Эпоха 113, ошибка: 0.004589081845331208, скорость обучения: 0.05314410000000002
Эпоха 114, ошибка: 0.004589081845331253, скорость обучения: 0.05314410000000002
Эпоха 115, ошибка: 0.004589081845331185, скорость обучения: 0.04782969000000002
Эпоха 116, ошибка: 0.004481758531698585, скорость обучения: 0.04782969000000002
Эпоха 117, ошибка: 0.004423237712666034, скорость обучения: 0.04782969000000002
Эпоха 118, ошибка: 0.004415056496879575, скорость обучения: 0.04782969000000002
Эпоха 119, ошибка: 0.004413906398635024, скорость обучения: 0.04782969000000002
Эпоха 120, ошибка: 0.0044137445934104205, скорость обучения: 0.04782969000000002
Эпоха 121, ошибка: 0.004413721826815587, скорость обучения: 0.04782969000000002
Эпоха 122, ошибка: 0.004413718623421184, скорость обучения: 0.04782969000000002
Эпоха 123, ошибка: 0.00441371817268414, скорость обучения: 0.04782969000000002
Эпоха 124, ошибка: 0.004413718109263068, скорость обучения: 0.04782969000000002
Эпоха 125, ошибка: 0.004413718100339084, скорость обучения: 0.04782969000000002
Эпоха 126, ошибка: 0.004413718099083051, скорость обучения: 0.04782969000000002
Эпоха 127, ошибка: 0.004413718098906087, скорость обучения: 0.04782969000000002
Эпоха 128, ошибка: 0.004413718098881444, скорость обучения: 0.04782969000000002
Эпоха 129, ошибка: 0.004413718098877827, скорость обучения: 0.04782969000000002
Эпоха 130, ошибка: 0.004413718098877712, скорость обучения: 0.04782969000000002
Эпоха 131, ошибка: 0.004413718098877688, скорость обучения: 0.04782969000000002
Эпоха 132, ошибка: 0.004413718098877688, скорость обучения: 0.04782969000000002
Эпоха 133, ошибка: 0.004413718098877688, скорость обучения: 0.04782969000000002
Эпоха 134, ошибка: 0.004413718098877688, скорость обучения: 0.04782969000000002
Эпоха 135, ошибка: 0.004413718098877688, скорость обучения: 0.04782969000000002
Эпоха 136, ошибка: 0.004413718098877688, скорость обучения: 0.043046721000000024
Эпоха 137, ошибка: 0.004342354575636375, скорость обучения: 0.043046721000000024
Эпоха 138, ошибка: 0.0042850211237284155, скорость обучения: 0.043046721000000024
Эпоха 139, ошибка: 0.0042745793982359725, скорость обучения: 0.043046721000000024
Эпоха 140, ошибка: 0.00427266808976828, скорость обучения: 0.043046721000000024
Эпоха 141, ошибка: 0.0042723179082753806, скорость обучения: 0.043046721000000024
Эпоха 142, ошибка: 0.004272253738625409, скорость обучения: 0.043046721000000024
Эпоха 143, ошибка: 0.004272241979372435, скорость обучения: 0.043046721000000024
Эпоха 144, ошибка: 0.004272239824447143, скорость обучения: 0.043046721000000024
Эпоха 145, ошибка: 0.004272239429548839, скорость обучения: 0.043046721000000024
Эпоха 146, ошибка: 0.004272239357182373, скорость обучения: 0.043046721000000024
Эпоха 147, ошибка: 0.0042722393439206694, скорость обучения: 0.043046721000000024
Эпоха 148, ошибка: 0.004272239341490059, скорость обучения: 0.043046721000000024
Эпоха 149, ошибка: 0.004272239341045462, скорость обучения: 0.043046721000000024
Эпоха 150, ошибка: 0.004272239340963447, скорость обучения: 0.043046721000000024
Эпоха 151, ошибка: 0.004272239340948197, скорость обучения: 0.043046721000000024
Эпоха 152, ошибка: 0.004272239340945589, скорость обучения: 0.043046721000000024
Эпоха 153, ошибка: 0.004272239340944978, скорость обучения: 0.043046721000000024
Эпоха 154, ошибка: 0.0042722393409449335, скорость обучения: 0.043046721000000024
Эпоха 155, ошибка: 0.0042722393409449924, скорость обучения: 0.043046721000000024
Эпоха 156, ошибка: 0.004272239340944953, скорость обучения: 0.043046721000000024
Эпоха 157, ошибка: 0.0042722393409449985, скорость обучения: 0.043046721000000024
Эпоха 158, ошибка: 0.004272239340944953, скорость обучения: 0.043046721000000024
Эпоха 159, ошибка: 0.0042722393409449985, скорость обучения: 0.03874204890000002
Эпоха 160, ошибка: 0.004227201721997096, скорость обучения: 0.03874204890000002
Эпоха 161, ошибка: 0.004173132107617407, скорость обучения: 0.03874204890000002
Эпоха 162, ошибка: 0.004160867036203663, скорость обучения: 0.03874204890000002
Эпоха 163, ошибка: 0.0041580724097851655, скорость обучения: 0.03874204890000002
Эпоха 164, ошибка: 0.004157434996226885, скорость обучения: 0.03874204890000002
Эпоха 165, ошибка: 0.004157289577544833, скорость обучения: 0.03874204890000002
Эпоха 166, ошибка: 0.004157256400153091, скорость обучения: 0.03874204890000002
